	term	IDF	ICF	Chi-sq	CG	ICB	DoP	RICF
36	(XIC)/XIST_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	205.0	-0.0005654189754611405	-0.0002509284794403044
37	(cdk)4_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	139.0	-0.0003833816467772033	-0.0002509284794403044
38	(dys)regulation_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	168.0	-0.00046336774574473605	-0.0002509284794403044
39	(gamma(c))-like_molecule_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	169.0	-0.0004661258870886087	-0.0002509284794403044
40	(p65)-mediated_induction_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	224.0	-0.0006178236609932775	-0.0002509284794403044
41	+195_to_+240_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	185.0	-0.0005102561485882395	-0.0002509284794403044
42	+646_to_+655_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	213.0	-0.0005874841062120106	-0.0002509284794403044
43	-1,065_to_-1,056_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	213.0	-0.0005874841062120106	-0.0002509284794403044
44	-101_to_-92_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	334.0	-0.0009212192088017268	-0.0002509284794403044
45	-102_to_-105_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	225.0	-0.000620581802336484	-0.0002509284794403044
46	-1053/+34_construct_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	190.0	-0.0005240468553066036	-0.0002509284794403044
47	-105_and_-193_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	290.0	-0.0007998609896767706	-0.0002509284794403044
48	-107_and_-59_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	137.0	-0.0003778653640887919	-0.0002509284794403044
49	-107_bp_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	183.0	-0.000504739865899384	-0.0002509284794403044
50	-108_to_-95_nt_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	209.0	-0.0005764515408369641	-0.0002509284794403044
51	-109_to_-118_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	212.0	-0.0005847259648689151	-0.0002509284794403044
52	-110_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	180.0	-0.0004964654418697645	-0.0002509284794403044
53	-1168_to_-440_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	232.0	-0.0006398887917415941	-0.0002509284794403044
54	-119_to_-88_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	208.0	-0.0005736933994929805	-0.0002509284794403044
55	-120_lex	7.600902459542082	12.107806350720098	311.07403557203764	2.0	360.0	-0.0004964654418683212	0.6928962520805051
56	-120_region_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	180.0	-0.0004964654418683212	-0.0002509284794403044
57	-1280_element_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	216.0	-0.0005957585302418522	-0.0002509284794403044
58	-130_AP-1-like_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
59	-137_to_-64_element_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	164.0	-0.0004523351803704667	-0.0002509284794403044
60	-140_to_-87_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	232.0	-0.0006398887917415941	-0.0002509284794403044
61	-140_to_-92_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	-0.0002509284794403044
62	-141_base_pairs_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	184.0	-0.0005074980072452551	-0.0002509284794403044
63	-145_to_-128_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	199.0	-0.0005488701274003471	-0.0002509284794403044
64	-147/-130_NXS_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
65	-148_to_+60_region_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	171.0	-0.0004716421697749107	-0.0002509284794403044
66	-148_to_-130_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
67	-150_AP-1_binding_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
68	-150_bp_lex	7.600902459542082	11.702341242611933	inf	3.0	711.0	-0.0006536794984600691	1.0983613601886706
69	-150_proximal_AP-1_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
70	-152_to_-147_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
71	-153_to_-145_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	217.0	-0.0005985166715875012	-0.0002509284794403044
72	-155_and_-193_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	290.0	-0.0007998609896767706	-0.0002509284794403044
73	-158/-90_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	212.0	-0.00058472596486836	-0.0002509284794403044
74	-158_to_-49_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	217.0	-0.0005985166715875012	-0.0002509284794403044
75	-160_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	124.0	-0.0003420095266214451	-0.0002509284794403044
76	-163_to_-172_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	212.0	-0.0005847259648689151	-0.0002509284794403044
77	-165/-148_NXS_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
78	-165_to_-148_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
79	-173_and_-60_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	139.0	-0.0003833816467779805	-0.0002509284794403044
80	-176_to_-96_sequence_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
81	-180_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
82	-182_bp_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	183.0	-0.000504739865899384	-0.0002509284794403044
83	-182_to_-162_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	208.0	-0.0005736933994929805	-0.0002509284794403044
84	-182_to_-37_base_pairs_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	208.0	-0.0005736933994929805	-0.0002509284794403044
85	-183/-166_NXS_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
86	-183_and_-196_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	209.0	-0.0005764515408365201	-0.0002509284794403044
87	-183_to_-166_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
88	-187_to_-181_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	201.0	-0.0005543864100877594	-0.0002509284794403044
89	-200_to_-100_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	197.0	-0.0005433538447116026	-0.0002509284794403044
90	-201/-184_NXS_lex	7.600902459542082	12.107806350720098	311.07403557203673	2.0	482.0	-0.0006647120638344495	0.6928962520805051
91	-2010_and_-1954_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	181.0	-0.0004992235832123049	-0.0002509284794403044
92	-201_and_-130_lex	7.600902459542082	12.107806350720098	311.07403557203673	2.0	482.0	-0.0006647120638344495	0.6928962520805051
93	-201_to_-130_region_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
94	-201_to_-_184_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
95	-206_to_-195_lex	6.907755278982137	12.107806350720098	0.6889482039901579	1.0	189.5	-0.0010453355692684463	-0.0005316994476203263
96	-220_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	180.0	-0.0004964654418683212	-0.0002509284794403044
97	-223_bases_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	212.0	-0.000584725964868027	-0.0002509284794403044
98	-230_GATA-1_site_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	203.0	-0.0005599026927756157	-0.0002509284794403044
99	-236/-145_minimal_E2RE_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	246.0	-0.000678502770555145	-0.0002509284794403044
100	-236_to_-96_sequence_lex	7.600902459542082	12.107806350720098	311.07403557203764	2.0	402.0	-0.0005543864100877594	0.6928962520805051
101	-24_lex	7.600902459542082	12.107806350720098	311.07403557203673	2.0	386.0	-0.0005323212793368892	0.6928962520805051
102	-250_to_+50_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	245.0	-0.000675744629209496	-0.0002509284794403044
103	-253_to_-257_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	291.0	-0.0008026191310216424	-0.0002509284794403044
104	-256_to_-248_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	199.0	-0.0005488701274003471	-0.0002509284794403044
105	-256_to_-250._lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	97.0	-0.00026753971034043644	-0.0002509284794403044
106	-257_to_+74_region_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	196.0	-0.0005405957033687292	-0.0002509284794403044
107	-260_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	162.0	-0.00044681889768283245	-0.0002509284794403044
108	-267_to_-246_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	97.0	-0.00026753971034043644	-0.0002509284794403044
109	-276_to_-261_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	199.0	-0.0005488701274003471	-0.0002509284794403044
110	-285/-254_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	155.0	-0.00042751190827539087	-0.0002509284794403044
111	-288CTTTTTGCTT-TGC-300_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	126.0	-0.00034752580930785815	-0.0002509284794403044
112	-291_to_-245_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	135.0	-0.00037234908140126866	-0.0002509284794403044
113	-291_to_-277_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	199.0	-0.0005488701274003471	-0.0002509284794403044
114	-293_to_-254_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	231.0	-0.0006371306503988317	-0.0002509284794403044
115	-294_to_-251_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	161.0	-0.0004440607563379606	-0.0002509284794403044
116	-295_to_-286_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	232.0	-0.0006398887917419271	-0.0002509284794403044
117	-300_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	162.0	-0.00044681889768283245	-0.0002509284794403044
118	-30_promoter_region_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	172.0	-0.0004744003111186723	-0.0002509284794403044
119	-311CTCCCTTCT-303_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	126.0	-0.00034752580930785815	-0.0002509284794403044
120	-3134_and_-3059_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168057903	-0.0002509284794403044
121	-317/-288_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	308.0	-0.0008495075338634805	-0.0002509284794403044
122	-319_and_-219_bp_upstream_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	235.0	-0.000648163215773434	-0.0002509284794403044
123	-326_to_-615_region_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	131.0	-0.0003613165160278875	-0.0002509284794403044
124	-34_to_+3_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	231.0	-0.0006371306503988317	-0.0002509284794403044
125	-352_to_-264_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	232.0	-0.0006398887917415941	-0.0002509284794403044
126	-353_to_-304_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	136.0	-0.00037510722274491926	-0.0002509284794403044
127	-3757_and_-2729_bp_upstream_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	197.0	-0.0005433538447117137	-0.0002509284794403044
128	-392_to_-177_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	161.0	-0.0004440607563379606	-0.0002509284794403044
129	-408_to_-386_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	231.0	-0.0006371306503988317	-0.0002509284794403044
130	-417_and_-207_bp_5'_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	203.0	-0.0005599026927756157	-0.0002509284794403044
131	-429_to_-245_base_pair_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	183.0	-0.0005047398658999391	-0.0002509284794403044
132	-42_and_-76_base_pair_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	278.0	-0.0007667632935536295	-0.0002509284794403044
133	-45_and_-160_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	124.0	-0.0003420095266214451	-0.0002509284794403044
134	-45_site_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	124.0	-0.0003420095266214451	-0.0002509284794403044
135	-46_and_-80_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	193.0	-0.0005323212793378884	-0.0002509284794403044
136	-47_to_-40_upstream_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	209.0	-0.000576451540835965	-0.0002509284794403044
137	-500_to_+50bp_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	245.0	-0.000675744629209496	-0.0002509284794403044
138	-50_and_-54_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	278.0	-0.0007667632935536295	-0.0002509284794403044
139	-512_to_+40_LMP1_DNA_lex	7.600902459542082	12.800953531280044	0.7015953579233858	1.0	231.0	-0.0006371306503979435	-0.0002509284794403044
140	-516_motif_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	215.0	-0.0005930003888993118	-0.0002509284794403044
141	-52_and_+89_nucleotides_lex	7.600902459542082	12.800953531280044	0.7015953579233858	1.0	198.0	-0.0005461119860552532	-0.0002509284794403044
142	-533_bases_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	212.0	-0.000584725964868027	-0.0002509284794403044
143	-54_and_-40_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	245.0	-0.0006757446292108282	-0.0002509284794403044
144	-54_to_-31_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	334.0	-0.0009212192088017268	-0.0002509284794403044
145	-557_and_-417_zeta-_luciferase_construct_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	203.0	-0.0005599026927756157	-0.0002509284794403044
146	-570_to_-552_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	171.0	-0.00047164216977513274	-0.0002509284794403044
147	-59_to_-50_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	193.0	-0.0005323212793378884	-0.0002509284794403044
148	-620_to_+34_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	334.0	-0.0009212192088017268	-0.0002509284794403044
149	-643_to_+33_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	244.0	-0.0006729864878659564	-0.0002509284794403044
150	-65_region_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	216.0	-0.0005957585302418522	-0.0002509284794403044
151	-66_to_-59_region_lex	7.600902459542082	12.107806350720098	311.07403557203673	2.0	376.0	-0.0005185305726190803	0.6928962520805051
152	-67_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	278.0	-0.0007667632935536295	-0.0002509284794403044
153	-685_and_-395_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	171.0	-0.00047164216977513274	-0.0002509284794403044
154	-70_GATA_site_lex	7.600902459542082	11.414659170160153	inf	4.0	948.0	-0.0006536794984601801	1.3860434326404505
155	-70_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	95.0	-0.0002620234276530242	-0.0002509284794403044
156	-70_to_-65_region_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	188.0	-0.0005185305726190803	-0.0002509284794403044
157	-72_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	225.0	-0.000620581802336484	-0.0002509284794403044
158	-73_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	203.0	-0.0005599026927749495	-0.0002509284794403044
159	-73_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	146.0	-0.00040268863618397877	-0.0002509284794403044
160	-73_to_-16_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	250.0	-0.0006895353359287482	-0.0002509284794403044
161	-75_and_-58_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
162	-75_to_-66_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	199.0	-0.0005488701274003471	-0.0002509284794403044
163	-76_nucleotide_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	240.0	-0.0006619539224923532	-0.0002509284794403044
164	-76_site_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	240.0	-0.0006619539224923532	-0.0002509284794403044
165	-76_to_-65_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	231.0	-0.0006371306503988317	-0.0002509284794403044
166	-795_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	203.0	-0.0005599026927749495	-0.0002509284794403044
167	-79_to_-52_region_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	243.0	-0.0006702283465223058	-0.0002509284794403044
168	-83_to_-91_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	225.0	-0.000620581802336484	-0.0002509284794403044
169	-85_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	95.0	-0.0002620234276530242	-0.0002509284794403044
170	-85_to_-76_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	334.0	-0.0009212192088017268	-0.0002509284794403044
171	-90/-79_sequence_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	228.0	-0.0006288562263677688	-0.0002509284794403044
172	-93_and_-76_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	241.0	-0.0006647120638344495	-0.0002509284794403044
173	-95_and_-36_bp_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	132.0	-0.0003640746573700948	-0.0002509284794403044
174	-95_and_-73_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	266.0	-0.0007336655974276018	-0.0002509284794403044
175	-95_bp_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	95.0	-0.0002620234276530242	-0.0002509284794403044
176	-96_to_-66-bp_octamer_motif_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	285.0	-0.0007860702829597388	-0.0002509284794403044
177	-C-C_family_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	217.0	-0.0005985166715875012	-0.0002509284794403044
178	-CAT_construct_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168057903	-0.0002509284794403044
179	-CD3_(TcR-CD3)_complex_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	149.0	-0.00041096306021426443	-0.0002509284794403044
180	-GGAA-_to_-GGAT-_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	209.0	-0.000576451540835965	-0.0002509284794403044
181	-independent_pathway_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	234.0	-0.0006454050744285622	-0.0002509284794403044
182	0	5.2030071867437115	10.316046881492042	14.335309998234175	1.0909090909090908	278.72727272727275	-0.007391818801148475	0.08401280692748081
183	0.25-2.0_Gy_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	152.0	-0.0004192374842461044	-0.0002509284794403044
184	0.5-,_1-_and_2-Gy_exposure_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	152.0	-0.0004192374842461044	-0.0002509284794403044
185	0.5-Gy_exposure_lex	7.600902459542082	12.107806350720098	311.0740355720358	2.0	304.0	-0.0004192374842461044	0.6928962520805051
186	0.59_to_0.67_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	169.0	-0.0004661258870892748	-0.0002509284794403044
187	0.67_to_0.73_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	169.0	-0.0004661258870892748	-0.0002509284794403044
188	0.67_to_0.73_map_unit_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	169.0	-0.0004661258870892748	-0.0002509284794403044
189	0.82_to_1.0_units_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	169.0	-0.0004661258870892748	-0.0002509284794403044
190	0.95_kb_Id-3_transcript_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	121.0	-0.00033373510259071537	-0.0002509284794403044
191	000	6.907755278982137	11.702341242611933	159.46644784256011	1.5	235.0	-0.0008522656752081303	0.40493340866054517
192	0000	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	166.0	-0.00045785146305654667	-0.0002509284794403044
193	000005	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	185.0	-0.0005102561485869073	-0.0002509284794403044
194	000009	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	311.0	-0.0008577819578956536	-0.0002509284794403044
195	00001	5.654992310486769	10.603728953943824	79.08282340041545	1.2857142857142858	329.57142857142856	-0.004804682220747036	0.24941046646831566
196	00004	6.907755278982137	12.107806350720098	0.6889482039901579	1.0	182.5	-0.0010067215904555615	-0.0005316994476203263
197	00005	6.907755278982137	12.107806350720098	0.6889482039901579	1.0	244.5	-0.0013487311170752303	-0.0005316994476203263
198	00006	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	242.0	-0.0006674702051798764	-0.0002509284794403044
199	00008	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	311.0	-0.0008577819578956536	-0.0002509284794403044
